School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Park Hill,24.08,26.34,50.42,3,3,1
Fort Osage,24.72,25.33,50.05,2,4,2
Willard,26.02,20.51,46.52,1,7,3
Liberty North,14.7,31.69,46.39,15,1,4
Nixa,14.01,28.63,42.63,20,2,5
Staley,17.29,24.68,41.97,9,5,6
Carthage,23.2,17.25,40.45,4,14,7
Winnetonka,22.6,15.93,38.52,5,16,8
Ft. Zumwalt North,14.57,23.47,38.04,17,6,9
Battle,16.44,18.96,35.41,13,10,10
Chaminade College Preparatory,14.64,19.74,34.38,16,8,11
Webster Groves,21.57,12.2,33.77,6,26,12
Jackson,19.41,13.54,32.95,7,21,13
McCluer North,14.0,18.64,32.64,21,11,14
Ladue Horton Watkins,14.46,17.44,31.91,18,13,15
Vianney,17.05,11.8,28.85,11,27,16
Republic,16.86,11.67,28.54,12,28,17
Pattonville,8.08,19.03,27.11,32,9,18
Camdenton,10.92,14.88,25.81,27,19,19
Waynesville,8.94,15.8,24.74,29,17,20
Parkway Central,5.93,17.91,23.84,38,12,21
Ft. Zumwalt East,14.2,8.87,23.06,19,31,22
Park Hill South,9.74,12.2,21.95,28,25,23
Hazelwood East,4.61,17.17,21.78,39,15,24
Belton,7.36,14.37,21.73,33,20,25
Rockwood Summit,8.26,13.26,21.52,31,22,26
Parkview,11.94,9.14,21.07,25,30,27
Truman,11.53,9.51,21.04,26,29,28
Liberty,13.86,6.28,20.14,22,35,29
Raytown,5.95,13.07,19.02,37,23,30
Parkway North,2.01,15.36,17.37,42,18,31
Neosho,8.86,7.27,16.13,30,32,32
Ft. Zumwalt South,15.39,-0.41,14.98,14,46,33
Central (St. Joseph),17.17,-3.04,14.13,10,48,34
Ozark,7.2,6.23,13.42,34,36,35
Smith-Cotton,1.05,12.28,13.32,44,24,36
Rolla,18.37,-6.14,12.23,8,50,37
Oakville,6.33,3.94,10.27,36,39,38
Parkway South,3.28,6.34,9.62,40,34,39
Branson,-0.46,6.56,6.1,45,33,40
Holt,6.49,-0.55,5.93,35,47,41
Oak Park,12.69,-7.16,5.52,24,51,42
Lebanon,1.22,4.05,5.27,43,38,43
North Kansas City,2.25,-0.32,1.92,41,45,44
Glendale,13.06,-12.22,0.84,23,53,45
Parkway West,-1.72,1.95,0.23,47,42,46
Poplar Bluff,-0.86,0.71,-0.15,46,43,47
Fox,-6.76,6.14,-0.62,51,37,48
McCluer,-6.23,2.47,-3.76,50,41,49
William Chrisman,-4.51,0.04,-4.46,49,44,50
Ruskin,-9.27,2.73,-6.54,52,40,51
Central (Springfield),-3.0,-7.82,-10.82,48,52,52
Washington,-9.7,-3.93,-13.63,53,49,53
