School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Christian Brothers College,40.56,36.2,76.76,1,1,1
Rockhurst,30.43,33.63,64.06,2,2,2
Francis Howell,28.87,30.8,59.68,3,3,3
Blue Springs,27.43,26.37,53.8,5,6,4
Kirkwood,28.05,18.75,46.8,4,11,5
Jefferson City,19.69,26.54,46.22,11,5,6
Raymore-Peculiar,17.11,27.6,44.71,15,4,7
Ft. Zumwalt West,26.02,17.79,43.81,8,13,8
Lee's Summit West,24.35,18.68,43.03,9,12,9
Eureka,18.32,24.21,42.53,13,8,10
Hazelwood Central,19.98,22.43,42.42,10,9,11
Rock Bridge,26.25,13.06,39.31,7,16,12
Blue Springs South,13.54,21.78,35.32,17,10,13
Lee's Summit,27.2,7.49,34.68,6,23,14
Lafayette Wildwood,4.64,25.83,30.47,21,7,15
Lafayette (Wildwood),15.14,12.27,27.41,16,18,16
Kickapoo,19.13,8.09,27.22,12,21,17
Timberland,11.43,12.28,23.71,18,17,18
Joplin,17.15,4.45,21.6,14,25,19
Lee's Summit North,7.07,13.21,20.28,19,15,20
Hickman,4.86,14.23,19.1,20,14,21
Ritenour,3.09,10.51,13.59,23,19,22
Lindbergh,1.65,9.75,11.4,25,20,23
Marquette,2.83,7.86,10.69,24,22,24
Francis Howell North,3.5,3.36,6.86,22,26,25
De Smet Jesuit,1.37,4.73,6.1,26,24,26
Francis Howell Central,-2.25,-1.66,-3.92,27,27,27
Hazelwood West,-7.51,-2.11,-9.62,29,28,28
Mehlville,-4.8,-6.47,-11.27,28,30,29
Seckman,-11.81,-3.94,-15.75,31,29,30
Troy Buchanan,-12.53,-8.14,-20.67,32,31,31
Northwest (Cedar Hill),-8.89,-12.02,-20.91,30,32,32
